amount,time_seconds,distance_from_home,transaction_frequency,merchant_risk_score,hour_of_day,day_of_week,merchant_category,cardholder_age,card_age_years,velocity_24h,amount_deviation,is_international,is_online,pin_used,is_fraud
19.671285327211443,8597.455156277549,9.540701047680555,3,0.30858912143392137,20,2,3,56.442147271164,2.8385160036356236,1,-0.5276496752277108,0,0,1,0.0
69.34960196649583,114050.24539922195,50.00277296370725,2,0.11338674568933389,15,2,4,38.00602971931195,1.5156727178695788,1,-0.025827748520559378,1,1,1,0.0
4.268184049436671,15302.17474074611,2.3907493974598775,4,0.24396220914840686,20,1,4,47.840086834438466,6.9393447016236225,2,-0.09835871477074665,0,0,1,0.0
212.08905168597352,59310.17423439289,6.130731979453365,2,0.14414116521330547,6,1,4,45.0673615932925,2.2480738183327973,1,-0.3386589293338916,0,0,0,0.0
106.78912048327989,32688.898030375374,16.48100100309233,7,0.3787681785228799,14,5,4,25.944672296304358,7.99576863536064,0,0.7685307032705084,1,0,1,0.0
20.163851573662605,1920.9799873797635,6.696541645503636,0,0.2104276644894696,6,2,5,18.0,1.5594098562521124,1,-0.02327053268442765,0,0,1,0.0
1.1067339407724885,77214.1687716033,9.38011942599868,0,0.19099906198536767,11,6,4,38.55362130445254,0.1,1,0.04709484165738073,0,0,1,0.0
22.375453769946773,32396.428367755783,21.928027152081576,7,0.18786848139520324,14,6,3,48.262353304163895,20.0,0,0.08879468170408913,0,1,1,0.0
55.434879381208304,68389.19979846421,13.923040091849412,4,0.19496944830630805,8,4,0,47.808627859486755,0.18371184179652006,1,0.5522924641933844,0,0,0,0.0
28.415678580974085,109155.99523275,2.1265510039903837,4,0.1809064319285703,2,4,4,41.313920496155845,0.8752946801257397,1,0.9781814399424079,0,0,0,0.0
62.53741474168477,90636.87329092389,11.475278485101429,4,0.36849046627062937,17,2,0,23.41061296502096,10.16451095853614,5,0.34288180196424517,0,1,1,0.0
35.057590844032084,113789.91407484605,43.58834734092386,6,0.40547656745532573,23,1,1,63.32320258563149,1.7240917094280124,2,-0.09275809576369483,0,0,0,0.0
22.526776868084948,99010.80080172134,7.79469134985891,2,0.32646995349625524,1,3,4,28.249797659141514,4.261381486850192,2,-0.35004942509412995,0,1,1,0.0
57.32034813241749,76182.7457943494,3.4021049133853225,5,0.18873991840821955,14,4,8,52.74483947340376,9.83337214309083,5,-0.2878980063525331,0,1,0,0.0
8.201760445130375,3564.282011978481,12.651416500625885,3,0.14077106308496287,15,0,3,57.4680468282575,3.618510002286871,2,-0.08418383189998109,0,0,1,0.0
215.35905004499037,93850.07962440736,8.629100086726913,4,0.2048240536935523,14,5,2,44.32805771186922,4.473207743165145,2,-0.5612200988339201,0,1,1,0.0
170.4823470554286,70924.35865059929,6.112859332302367,2,0.23253861024737799,10,2,0,41.38624990856998,10.998285923910634,2,0.1623084142021832,0,1,0,0.0
106.11836948068549,158242.0791193746,1.5240980356496499,1,0.32820049956432723,13,3,7,49.375296755839145,0.7627719956248827,0,0.7089735667185367,0,0,0,0.0
